'Erdos592.ramsey_card_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.OrdinalCardinalRamsey.mono_card' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.P_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.blue_neighborhood_isClique' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.typeLT_eq_omega0_of_infinite' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.indecCount_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.indecCount_of_lt_omega0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.indecCount_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.indecCount_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.indecCount_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.indecCount_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.isPrincipal_of_isOpow' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.gamma_unique' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.frontier_exhaustive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.frontier_exclusive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.omega_mem_ClassC' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.omega_sq_mem_ClassC' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.nat_mem_ClassB' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.omega_pow_four_mem_ClassE' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.omega_pow_three_open' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.ClassD_nonempty' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.three_le_of_indecCount_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.omega_pow_three_least' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.ClassD_least' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.no_monotone_bridge' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.galvin_larson_conjecture_false' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.galvin_larson_conjecture_false'' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.erdos592_reduces_to_ClassD' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos592.erdos592_answer_dichotomy' depends on axioms: [propext, Classical.choice, Quot.sound]
